,asin,helpful,overall,reviewerID,unixReviewTime
1,P01,"[6, 7]",4,A,1354320000
2,P01,"[4, 4]",3,B,1354665600
3,P01,"[1, 2]",2,C,1375747200
4,P01,"[0, 1]",3,D,1358380800
5,P01,"[0, 1]",5,E,1364947200
6,P01,"[3, 3]",2,F,1369699200
7,P01,"[4, 6]",2,G,1353974400
8,P01,"[1, 1]",4,H,1356134400
9,P01,"[1, 2]",3,I,1356220800
10,P01,"[2, 8]",3,L,1353974400
11,P02,"[2, 3]",5,A,1354320000
12,P02,"[2, 4]",3,B,1354665600
13,P02,"[0, 2]",4,C,1375747200
14,P02,"[0, 0]",1,G,1353974400
15,P02,"[1, 1]",4,H,1356134400
16,P02,"[1, 2]",4,I,1356220800
17,P02,"[2, 2]",2,L,1353974400
18,P03,"[4, 4]",3,A,1354320000
19,P03,"[2, 4]",3,B,1354665600
20,P03,"[2, 3]",5,C,1375747200
21,P03,"[0, 1]",4,D,1358380800
22,P03,"[0, 2]",5,E,1364947200
23,P03,"[5, 5]",4,F,1369699200
24,P03,"[2, 7]",5,L,1353974400
25,P04,"[3, 3]",5,C,1354320000
26,P04,"[1, 10]",2,E,1354665600
27,P04,"[0, 2]",2,F,1375747200
28,P04,"[3, 12]",2,A,1358380800
29,P04,"[8, 9]",4,B,1364947200
30,P04,"[3, 3]",5,D,1369699200
31,P05,"[5, 5]",5,A,1353974400
32,P05,"[3, 5]",5,B,1356134400
33,P05,"[2, 3]",5,C,1356220800
34,P05,"[0, 10]",1,D,1353974400
35,P05,"[1, 6]",1,E,1354320000
36,P05,"[0, 0]",3,F,1354665600
37,P05,"[4, 7]",4,G,1375747200
38,P05,"[1, 1]",3,H,1353974400
39,P05,"[6, 8]",4,I,1356134400
40,P05,"[8, 11]",4,L,1356220800
41,P06,"[2, 6]",4,A,1353974400
42,P06,"[6, 6]",5,B,1354320000
43,P06,"[4, 7]",5,C,1354665600
44,P06,"[1, 2]",5,D,1375747200
45,P06,"[1, 8]",1,E,1358380800
46,P06,"[0, 1]",1,F,1364947200
47,P07,"[4, 5]",1,A,1369699200
48,P07,"[0, 7]",5,B,1353974400
49,P07,"[1, 4]",5,C,1354320000
50,P07,"[3, 3]",1,D,1354665600
51,P08,"[3, 4]",4,A,1354320000
52,P08,"[2, 4]",4,B,1354665600
53,P08,"[0, 10]",1,C,1375747200
54,P08,"[2, 4]",2,D,1358380800
55,P08,"[0, 0]",3,E,1364947200
56,P08,"[0, 0]",4,F,1369699200
57,P08,"[1, 1]",5,G,1353974400
58,P08,"[5, 5]",5,H,1356134400
59,P08,"[2, 3]",4,I,1356220800
60,P08,"[1, 1]",4,L,1353974400
61,P08,"[2, 2]",5,M,1354320000
62,P08,"[0, 0]",3,N,1354665600
63,P08,"[1, 2]",3,O,1375747200
64,P08,"[3, 5]",5,P,1353974400
65,P08,"[1, 3]",1,Q,1356134400
66,P08,"[2, 4]",5,R,1356220800
67,P08,"[0, 0]",4,S,1353974400
68,P08,"[3, 3]",5,T,1354320000
69,P08,"[1, 1]",3,U,1354665600
70,P08,"[1, 1]",5,V,1375747200
71,P08,"[6, 7]",5,Z,1358380800
72,P09,"[2, 2]",1,P,1364947200
73,P09,"[3, 3]",1,Q,1369699200
74,P09,"[1, 3]",1,R,1353974400
75,P09,"[0, 0]",1,S,1354320000
76,P09,"[1, 2]",1,T,1354665600
77,P09,"[0, 6]",5,U,1375747200
78,P09,"[1, 1]",3,V,1354320000
79,P09,"[2, 3]",2,Z,1354665600
80,P09,"[4, 4]",1,A,1375747200
81,P10,"[0, 0]",4,L,1358380800
82,P10,"[3, 4]",4,M,1364947200
83,P10,"[4, 4]",5,N,1369699200
84,P10,"[2, 2]",5,O,1353974400
85,P10,"[0, 5]",1,P,1354320000
86,P10,"[1, 4]",5,Q,1354665600
87,P10,"[0, 0]",5,R,1375747200
88,P10,"[2, 3]",5,S,1358380800
89,P10,"[1, 2]",2,T,1364947200
90,P10,"[3, 3]",4,U,1369699200
